Ageyears,Data_Value,Class,Question
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,25.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,39.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
 ,24.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
18 - 24,25.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,26.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,49.5,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
45 - 54,39.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,25.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,51.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,46.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,17.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,17,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,34.6,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
65 or older,39.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.2,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
25 - 34,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,32.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,17.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,58.9,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,37.6,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,29.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,28.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,13.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,16.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,48.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,9.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.4,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,52.7,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,40.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,48.4,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,23,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,27,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,39,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,40.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,14.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,20.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,4.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,10.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,33.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,40.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,42.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,16.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,41.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,44.8,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
65 or older,40.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,42.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,16.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,40.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,39.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,26.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,17.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,28.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,39,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.1,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,30.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,21.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,18.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,14.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,39.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,33.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,16.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,23,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,41.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,41.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24, ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,22.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,44.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,39.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,43.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,28.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,52.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,17.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,11.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,26.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,20.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,30.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,41.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,27.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,54.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,27.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,20.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,31,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,12.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,15.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,23.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,12.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,33.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,18.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,25,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,11.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,13.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,26.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20.3,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
18 - 24,24.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,45.9,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
 ,24.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,34.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,23.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,24.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,26.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,27.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,12.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,27.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,26.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,39.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,25.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,15.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,12.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,40.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,42.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,16,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,8.1,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,25.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,21.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,17.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,16.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
